column_variable,total_missing,percent_missing
rh_S_intrapariet_and_P_trans_foldind_D,0,0.0
rh_S_oc_middle_and_Lunatus_foldind_D,0,0.0
rh_S_oc_sup_and_transversal_foldind_D,0,0.0
rh_S_occipital_ant_foldind_D,0,0.0
rh_S_oc.temp_lat_foldind_D,0,0.0
rh_S_oc.temp_med_and_Lingual_foldind_D,0,0.0
rh_S_orbital_lateral_foldind_D,0,0.0
rh_S_orbital_med.olfact_foldind_D,0,0.0
rh_S_orbital.H_Shaped_foldind_D,0,0.0
rh_S_parieto_occipital_foldind_D,0,0.0
rh_S_pericallosal_foldind_D,0,0.0
rh_S_postcentral_foldind_D,0,0.0
rh_S_precentral.inf.part_foldind_D,0,0.0
rh_S_precentral.sup.part_foldind_D,0,0.0
rh_S_suborbital_foldind_D,0,0.0
rh_S_subparietal_foldind_D,0,0.0
rh_S_temporal_inf_foldind_D,0,0.0
rh_S_temporal_sup_foldind_D,0,0.0
rh_S_temporal_transverse_foldind_D,0,0.0
rh_G_and_S_frontomargin_curvind_D,0,0.0
rh_G_and_S_occipital_inf_curvind_D,0,0.0
rh_G_and_S_paracentral_curvind_D,0,0.0
rh_G_and_S_subcentral_curvind_D,0,0.0
rh_G_and_S_transv_frontopol_curvind_D,0,0.0
rh_G_and_S_cingul.Ant_curvind_D,0,0.0
rh_G_and_S_cingul.Mid.Ant_curvind_D,0,0.0
rh_G_and_S_cingul.Mid.Post_curvind_D,0,0.0
rh_G_cingul.Post.dorsal_curvind_D,0,0.0
rh_G_cingul.Post.ventral_curvind_D,0,0.0
rh_G_cuneus_curvind_D,0,0.0
rh_G_front_inf.Opercular_curvind_D,0,0.0
rh_G_front_inf.Orbital_curvind_D,0,0.0
rh_G_front_inf.Triangul_curvind_D,0,0.0
rh_G_front_middle_curvind_D,0,0.0
rh_G_front_sup_curvind_D,0,0.0
rh_G_Ins_lg_and_S_cent_ins_curvind_D,0,0.0
rh_G_insular_short_curvind_D,0,0.0
rh_G_occipital_middle_curvind_D,0,0.0
rh_G_occipital_sup_curvind_D,0,0.0
rh_G_oc.temp_lat.fusifor_curvind_D,0,0.0
rh_G_oc.temp_med.Lingual_curvind_D,0,0.0
rh_G_oc.temp_med.Parahip_curvind_D,0,0.0
rh_G_orbital_curvind_D,0,0.0
rh_G_pariet_inf.Angular_curvind_D,0,0.0
rh_G_pariet_inf.Supramar_curvind_D,0,0.0
rh_G_parietal_sup_curvind_D,0,0.0
rh_G_postcentral_curvind_D,0,0.0
rh_G_precentral_curvind_D,0,0.0
rh_G_precuneus_curvind_D,0,0.0
rh_G_rectus_curvind_D,0,0.0
rh_G_subcallosal_curvind_D,0,0.0
rh_G_temp_sup.G_T_transv_curvind_D,0,0.0
rh_G_temp_sup.Lateral_curvind_D,0,0.0
rh_G_temp_sup.Plan_polar_curvind_D,0,0.0
rh_G_temp_sup.Plan_tempo_curvind_D,0,0.0
rh_G_temporal_inf_curvind_D,0,0.0
rh_G_temporal_middle_curvind_D,0,0.0
rh_Lat_Fis.ant.Horizont_curvind_D,0,0.0
rh_Lat_Fis.ant.Vertical_curvind_D,0,0.0
rh_Lat_Fis.post_curvind_D,0,0.0
rh_Pole_occipital_curvind_D,0,0.0
rh_Pole_temporal_curvind_D,0,0.0
rh_S_calcarine_curvind_D,0,0.0
rh_S_central_curvind_D,0,0.0
rh_S_cingul.Marginalis_curvind_D,0,0.0
rh_S_circular_insula_ant_curvind_D,0,0.0
rh_S_circular_insula_inf_curvind_D,0,0.0
rh_S_circular_insula_sup_curvind_D,0,0.0
rh_S_collat_transv_ant_curvind_D,0,0.0
rh_S_collat_transv_post_curvind_D,0,0.0
rh_S_front_inf_curvind_D,0,0.0
rh_S_front_middle_curvind_D,0,0.0
rh_S_front_sup_curvind_D,0,0.0
rh_S_interm_prim.Jensen_curvind_D,0,0.0
rh_S_intrapariet_and_P_trans_curvind_D,0,0.0
rh_S_oc_middle_and_Lunatus_curvind_D,0,0.0
rh_S_oc_sup_and_transversal_curvind_D,0,0.0
rh_S_occipital_ant_curvind_D,0,0.0
rh_S_oc.temp_lat_curvind_D,0,0.0
rh_S_oc.temp_med_and_Lingual_curvind_D,0,0.0
rh_S_orbital_lateral_curvind_D,0,0.0
rh_S_orbital_med.olfact_curvind_D,0,0.0
rh_S_orbital.H_Shaped_curvind_D,0,0.0
rh_S_parieto_occipital_curvind_D,0,0.0
rh_S_pericallosal_curvind_D,0,0.0
rh_S_postcentral_curvind_D,0,0.0
rh_S_precentral.inf.part_curvind_D,0,0.0
rh_S_precentral.sup.part_curvind_D,0,0.0
rh_S_suborbital_curvind_D,0,0.0
rh_S_subparietal_curvind_D,0,0.0
rh_S_temporal_inf_curvind_D,0,0.0
rh_S_temporal_sup_curvind_D,0,0.0
rh_S_temporal_transverse_curvind_D,0,0.0
rh_G_and_S_frontomargin_area_D,0,0.0
rh_G_and_S_occipital_inf_area_D,0,0.0
